  Phase  Time
10.293   -15.94
10.305   -15.94
10.315   -15.94
10.326   -15.94
10.337   -15.94
10.347   -15.94
10.363    -16.4
10.394    -16.4
10.405    -16.4
10.416    -16.4
10.426    -16.4
10.437    -16.4
10.447    -16.4
10.457   -16.08
10.495   -16.08
10.506   -16.08
10.517   -16.08
10.528   -16.08
10.538   -16.08
10.548   -16.08
10.559   -15.95
10.595   -15.95
10.607   -15.95
10.618   -15.95
 10.63   -15.95
 10.64   -15.95
10.651   -15.95
10.661   -15.88
10.696   -15.88
10.708   -15.88
10.719   -15.88
10.729   -15.88
 10.74   -15.88
 10.75   -15.88
10.761   -15.91
10.797   -15.91
10.808   -15.91
10.819   -15.91
10.829   -15.91
 10.84   -15.91
 10.85   -15.91
10.861   -16.02
10.897   -16.02
 10.91   -16.02
 10.92   -16.02
10.931   -16.02
10.942   -16.02
10.952   -16.02
10.962   -15.72
10.998   -15.72
 11.01   -15.72
11.021   -15.72
11.031   -15.72
11.042   -15.72
11.052   -15.72
11.062   -15.93
11.099   -15.93
11.111   -15.93

11.122   -15.93
11.133   -15.93
11.143   -15.93
11.154   -15.93
11.164   -16.14
11.201   -16.14
11.212   -16.14
11.223   -16.14
11.234   -16.14
11.244   -16.14
11.255   -16.14
11.265    -16.2
11.301    -16.2
11.313    -16.2
11.323    -16.2
11.334    -16.2
11.345    -16.2
11.355    -16.2
11.365   -16.21
11.402   -16.21
11.414   -16.21
11.424   -16.21
11.435   -16.21
11.445   -16.21
11.456   -16.21
11.466   -16.09
11.503   -16.09
11.515   -16.09
11.525   -16.09
11.536   -16.09
11.546   -16.09
11.557   -16.09
11.567      -16
11.603      -16
11.615      -16
11.626      -16
11.636      -16
11.647      -16
11.657      -16
11.667   -16.12
11.704   -16.12
11.716   -16.12
11.726   -16.12
11.737   -16.12
11.748   -16.12
11.758   -16.12
11.769   -15.63
11.805   -15.63
11.817   -15.63
11.827   -15.63
11.838   -15.63
11.848   -15.63
11.859   -15.63
11.869   -15.98
11.906   -15.98
11.918   -15.98
11.928   -15.98
11.939   -15.98
 11.95   -15.98
 11.96   -15.98
 11.97   -15.88
12.007   -15.88
12.018   -15.88
12.029   -15.88
 12.04   -15.88
 12.05   -15.88
12.061   -15.88
12.071   -16.16
12.107   -16.16
12.119   -16.16
12.129   -16.16
 12.14   -16.16
12.151   -16.16
12.161   -16.16
12.171   -16.03
12.208   -16.03

